750$2018-06-02 10:26:28$like$1328
675$2018-02-09 07:18:56$giveMark$257$4
283$2018-10-18 10:13:24$browse$1680
764$2018-06-03 07:50:02$like$2000
822$2018-03-11 03:15:30$share$126
315$2018-09-15 03:50:38$share$1403
486$2018-01-22 19:20:18$share$821
289$2018-07-31 09:06:51$like$348
702$2018-07-13 16:08:29$giveMark$880$6
362$2018-06-06 03:04:17$like$1143
1008$2018-04-14 18:45:12$browse$1148
651$2018-07-01 16:16:08$giveMark$739$2
796$2018-03-06 02:28:37$like$1241
33$2018-06-16 19:53:20$browse$241
577$2018-10-22 15:45:31$like$1073
498$2018-01-08 10:37:37$browse$667
47$2018-01-20 02:54:59$share$7
104$2018-10-31 13:49:03$like$1350
937$2018-09-21 02:22:04$browse$489
1013$2018-10-27 07:25:25$like$928
884$2018-02-01 20:28:51$share$894
213$2018-02-27 03:09:46$browse$298
335$2018-08-13 18:31:53$giveMark$208$6
793$2018-08-10 04:49:49$browse$1382
696$2018-01-16 09:22:35$like$1011
369$2018-02-27 07:45:18$browse$1441
788$2018-09-08 09:10:45$browse$155
677$2018-09-02 15:50:15$share$410
392$2018-04-18 00:35:53$like$74
55$2018-08-19 00:38:18$share$1961
473$2018-05-23 12:23:27$like$1223
951$2018-09-19 08:38:24$share$16
236$2018-09-05 12:34:39$share$1727
786$2018-09-01 21:21:39$like$885
890$2018-04-14 19:49:16$giveMark$223$10
919$2018-05-10 08:13:10$browse$1085
457$2018-09-04 00:11:18$giveMark$1159$9
119$2018-04-28 23:06:29$share$1778
281$2018-02-08 08:37:40$share$1560
799$2018-09-02 12:13:04$share$358
559$2018-06-27 10:58:11$share$1830
770$2018-09-28 11:30:30$giveMark$989$1
279$2018-08-17 18:44:31$browse$343
211$2018-06-27 17:48:19$like$1054
197$2018-01-29 14:39:13$giveMark$178$1
144$2018-04-26 03:54:19$like$1154
906$2018-09-08 04:23:06$share$752
681$2018-01-13 17:33:07$like$531
647$2018-07-04 04:32:07$like$110
71$2018-05-04 06:27:31$like$1670
585$2018-04-17 02:34:23$browse$41
964$2018-01-14 02:50:38$share$209
97$2018-01-19 05:28:33$share$1279
105$2018-03-23 17:27:20$share$1269
24$2018-05-13 20:36:33$share$1212
721$2018-01-31 03:12:14$like$2068
843$2018-02-12 15:39:14$like$1426
454$2018-06-30 13:36:22$share$955
478$2018-04-13 13:50:13$browse$543
251$2018-08-29 07:01:35$share$697
629$2018-05-27 07:07:25$browse$595
1044$2018-07-10 01:13:23$giveMark$1262$4
567$2018-05-13 10:33:08$browse$286
612$2018-07-27 01:54:54$browse$340
786$2018-01-09 21:51:34$like$1734
190$2018-03-03 20:18:33$share$2073
722$2018-04-04 03:42:08$giveMark$1775$8
486$2018-04-23 18:04:28$browse$635
893$2018-07-26 19:30:48$giveMark$736$6
29$2018-07-01 23:09:28$like$1577
1000$2018-04-30 23:17:50$browse$1564
427$2018-10-31 10:36:58$like$192
282$2018-09-04 05:04:17$browse$1174
1023$2018-06-29 23:04:05$share$1252
415$2018-03-19 17:07:41$share$1163
910$2018-09-08 03:12:55$giveMark$922$10
650$2018-02-12 22:19:51$like$1699
754$2018-03-20 14:54:23$giveMark$52$2
409$2018-10-25 15:54:56$giveMark$1168$1
902$2018-10-24 00:15:34$giveMark$1860$7
695$2018-09-30 05:59:28$share$1950
637$2018-10-25 09:46:12$like$1894
352$2018-03-15 04:12:15$like$369
436$2018-08-16 02:48:20$share$122
589$2018-08-16 08:42:19$browse$1921
605$2018-08-23 20:02:43$browse$1576
985$2018-07-17 11:34:45$share$456
84$2018-03-22 16:40:51$browse$1987
293$2018-07-20 17:57:41$giveMark$1178$3
137$2018-06-14 03:46:24$share$1902
221$2018-03-19 14:45:58$browse$1907
272$2018-07-09 16:48:36$browse$481
568$2018-05-11 17:11:19$browse$1828
462$2018-02-25 08:59:24$browse$308
903$2018-08-23 14:51:51$giveMark$1839$6
21$2018-06-12 23:19:28$browse$1257
909$2018-09-10 22:23:35$giveMark$1206$4
424$2018-04-01 18:53:39$giveMark$1750$4
166$2018-07-30 01:37:12$giveMark$2055$4
328$2018-07-12 15:20:35$browse$1721
967$2018-04-09 10:05:21$share$1978
896$2018-04-20 15:33:19$share$1961
141$2018-10-23 02:26:38$like$992
309$2018-02-04 08:45:13$like$1459
290$2018-06-08 05:07:09$like$1710
26$2018-07-16 13:29:41$like$1426
946$2018-10-12 07:22:02$like$855
151$2018-08-16 06:46:17$browse$654
645$2018-09-27 08:33:27$like$1301
374$2018-10-09 12:29:59$browse$2102
597$2018-04-19 12:11:19$browse$905
724$2018-02-10 03:23:42$browse$605
222$2018-02-14 12:58:38$share$1278
566$2018-09-18 12:50:34$like$736
423$2018-07-24 06:01:37$browse$977
322$2018-01-27 21:34:34$giveMark$1573$4
112$2018-06-26 12:10:16$giveMark$1859$1
596$2018-07-15 10:39:53$like$1293
863$2018-09-12 15:15:47$share$429
434$2018-05-31 11:12:45$like$906
13$2018-06-03 11:24:04$browse$682
349$2018-07-27 16:51:29$share$1641
701$2018-04-24 03:57:57$like$528
127$2018-01-28 22:48:32$like$753
677$2018-10-04 13:43:09$browse$1222
938$2018-07-10 23:59:49$share$1626
90$2018-02-10 14:43:55$share$1023
77$2018-06-11 08:17:06$giveMark$1622$3
356$2018-04-22 08:39:06$browse$1326
665$2018-04-07 21:57:29$browse$1915
912$2018-01-21 06:42:52$browse$1088
239$2018-05-24 15:54:55$browse$2079
994$2018-04-05 02:33:29$browse$2020
435$2018-06-24 18:02:45$like$562
651$2018-05-09 10:29:54$giveMark$1189$2
923$2018-01-06 07:26:23$giveMark$703$6
712$2018-08-03 18:23:03$browse$1046
416$2018-08-18 10:53:41$browse$1066
26$2018-04-04 02:04:05$giveMark$1708$1
291$2018-06-10 17:07:29$browse$186
877$2018-03-15 18:09:01$giveMark$840$5
96$2018-08-13 15:08:29$giveMark$1912$2
846$2018-02-19 22:46:05$like$1098
458$2018-08-22 13:54:33$giveMark$646$2
392$2018-10-04 10:24:02$share$1486
295$2018-08-21 22:08:52$browse$377
417$2018-10-28 10:49:09$browse$1114
521$2018-05-26 16:43:07$browse$1879
311$2018-02-09 09:07:12$giveMark$1445$3
810$2018-08-27 10:56:08$browse$569
365$2018-09-30 21:51:14$like$2066
940$2018-03-23 17:40:34$share$1138
133$2018-02-15 04:01:10$giveMark$626$8
43$2018-04-20 13:16:30$giveMark$917$9
628$2018-08-12 01:10:40$share$1861
203$2018-07-20 16:48:34$like$202
868$2018-08-20 23:12:30$giveMark$481$5
1029$2018-10-26 04:57:43$browse$793
346$2018-05-01 18:49:49$like$512
590$2018-06-22 18:19:42$browse$1940
426$2018-01-22 21:15:49$giveMark$398$2
714$2018-02-12 17:35:38$share$1553
745$2018-05-27 22:43:52$share$1657
888$2018-09-18 22:17:02$browse$806
399$2018-06-22 16:58:17$share$1271
971$2018-03-14 03:48:07$like$1507
962$2018-09-17 08:35:11$share$610
522$2018-06-28 11:17:38$browse$971
305$2018-02-20 20:57:04$browse$1831
335$2018-07-13 22:18:45$like$546
122$2018-02-18 16:17:38$giveMark$106$6
97$2018-06-08 02:09:39$giveMark$551$3
93$2018-09-25 12:57:41$giveMark$531$8
769$2018-05-30 23:27:28$like$427
368$2018-04-11 21:51:57$share$659
349$2018-05-28 13:46:24$browse$952
616$2018-07-20 18:21:36$giveMark$135$4
60$2018-01-26 16:42:28$share$91
113$2018-05-20 22:43:51$like$188
1026$2018-06-06 19:26:34$share$1578
666$2018-05-22 14:24:24$browse$792
42$2018-06-06 01:18:13$giveMark$406$9
694$2018-04-28 09:46:30$giveMark$255$10
624$2018-06-06 08:12:25$browse$1714
248$2018-01-01 05:17:56$browse$1971
258$2018-07-05 12:54:35$browse$1681
221$2018-01-18 21:48:58$like$2019
324$2018-01-13 08:13:51$like$1307
146$2018-04-25 02:34:38$share$1628
650$2018-06-01 22:58:41$giveMark$104$7
916$2018-05-14 02:33:17$giveMark$122$1
631$2018-04-30 13:08:46$like$1203
650$2018-09-28 04:45:41$browse$992
86$2018-06-19 11:47:11$share$1328
399$2018-01-24 01:02:11$share$882
461$2018-09-21 02:54:37$giveMark$1365$9
565$2018-05-06 01:25:20$giveMark$458$8
800$2018-09-07 11:15:59$like$756
679$2018-04-19 10:04:27$like$1272
784$2018-08-09 11:34:02$share$799
339$2018-01-28 03:13:17$like$1088
334$2018-06-07 02:11:09$browse$1130
377$2018-03-24 15:49:30$like$1672
170$2018-01-29 02:48:02$giveMark$1277$2
152$2018-02-06 10:57:13$giveMark$630$7
268$2018-06-19 08:27:39$share$1487
520$2018-03-26 22:50:10$like$1885
386$2018-07-23 03:33:06$giveMark$275$1
120$2018-01-15 13:35:31$like$312
136$2018-09-29 04:57:02$share$1774
56$2018-02-14 08:28:41$browse$430
1000$2018-02-03 18:52:06$share$278
910$2018-03-01 08:21:39$browse$612
1012$2018-02-21 19:57:17$like$1316
247$2018-08-09 01:11:56$browse$1229
724$2018-04-04 13:19:24$giveMark$1394$4
872$2018-03-05 15:42:23$browse$1173
645$2018-03-26 20:52:38$share$1406
318$2018-06-22 21:35:29$browse$1233
527$2018-05-25 20:50:13$like$29
837$2018-02-26 16:11:19$browse$976
150$2018-01-16 22:23:17$giveMark$1208$10
162$2018-05-22 08:49:07$share$1996
670$2018-09-18 11:05:48$giveMark$41$1
897$2018-09-15 13:41:57$browse$1801
458$2018-02-26 19:17:36$browse$1542
465$2018-09-26 10:18:29$giveMark$1301$7
617$2018-02-21 00:47:37$browse$157
885$2018-07-04 19:06:59$like$2030
982$2018-01-04 20:59:46$like$478
981$2018-07-03 19:37:15$share$750
697$2018-09-24 03:50:31$like$452
667$2018-06-14 23:46:15$like$1578
235$2018-07-07 08:02:07$like$971
288$2018-04-17 02:05:14$giveMark$1910$6
543$2018-03-06 22:55:25$giveMark$1011$5
498$2018-05-11 10:17:54$like$306
416$2018-07-29 18:36:49$share$2075
451$2018-05-17 02:01:53$like$352
450$2018-03-29 07:36:11$share$862
253$2018-04-24 14:38:37$share$1370
869$2018-03-05 21:54:51$browse$1033
57$2018-04-11 14:30:17$share$856
290$2018-03-31 01:19:17$like$1354
889$2018-09-09 13:25:58$browse$1088
121$2018-07-16 23:46:48$browse$1562
1049$2018-08-06 17:43:24$like$956
921$2018-06-20 15:30:39$giveMark$420$8
236$2018-01-05 19:02:44$like$1119
356$2018-02-12 19:13:18$browse$867
363$2018-09-04 04:01:20$like$1743
452$2018-03-04 08:07:39$giveMark$879$1
927$2018-05-29 00:31:48$browse$1740
974$2018-06-02 12:37:42$giveMark$1104$5
97$2018-05-29 06:35:17$browse$647
1030$2018-07-05 01:37:21$browse$1777
600$2018-04-11 10:09:33$share$1292
953$2018-06-08 14:48:56$like$806
307$2018-01-12 04:48:20$share$1599
1010$2018-10-29 06:51:28$share$45
758$2018-10-14 15:41:17$browse$890
834$2018-08-29 15:39:02$share$1256
893$2018-03-30 14:55:23$browse$733
716$2018-06-24 10:33:23$like$1985
757$2018-05-03 15:32:47$share$1828
745$2018-07-15 05:57:43$share$1765
108$2018-06-17 01:27:45$browse$365
182$2018-02-22 21:08:17$share$257
358$2018-08-04 22:18:13$share$1422
337$2018-08-25 13:12:51$share$799
134$2018-02-27 13:51:51$share$339
14$2018-01-26 01:27:56$like$1090
856$2018-02-09 18:01:10$giveMark$885$2
1006$2018-09-17 11:56:08$like$861
541$2018-02-11 06:37:18$share$2035
935$2018-03-02 17:02:26$browse$935
548$2018-01-05 00:45:53$like$892
921$2018-06-15 00:53:09$share$1577
999$2018-03-28 10:29:19$browse$1827
840$2018-02-20 00:02:39$browse$853
625$2018-09-09 22:02:56$like$2010
812$2018-05-14 16:44:29$browse$841
273$2018-01-29 11:51:02$giveMark$1766$4
118$2018-01-04 18:58:14$browse$1418
823$2018-04-26 17:26:49$share$153
727$2018-10-20 08:02:14$giveMark$201$10
639$2018-10-17 22:54:43$browse$1882
215$2018-07-24 16:52:20$like$1681
958$2018-08-25 00:56:32$browse$638
272$2018-06-28 04:52:01$like$1846
906$2018-01-06 12:29:44$share$683
491$2018-04-17 02:36:14$browse$1870
931$2018-09-02 13:48:40$like$247
165$2018-09-07 13:03:03$like$1739
971$2018-10-06 22:56:58$share$285
148$2018-03-12 14:32:04$giveMark$615$5
832$2018-05-23 19:30:32$giveMark$903$1
945$2018-08-06 10:13:08$giveMark$823$7
498$2018-04-13 14:06:28$like$1460
401$2018-02-20 23:11:09$share$1576
626$2018-08-23 18:10:33$like$539
296$2018-01-31 00:43:52$giveMark$1044$10
988$2018-03-01 07:01:41$browse$1782
613$2018-05-08 21:34:12$giveMark$718$1
568$2018-08-30 14:55:31$like$1104
905$2018-08-05 04:39:21$like$57
1047$2018-06-22 02:50:08$like$751
848$2018-03-06 05:44:54$share$1852
854$2018-10-15 15:41:31$like$1386
711$2018-08-15 18:44:20$share$1920
524$2018-05-30 20:40:31$like$1154
830$2018-01-10 11:47:46$like$760
514$2018-03-20 09:49:21$giveMark$229$8
349$2018-01-14 08:13:22$share$1047
421$2018-05-22 21:05:44$share$1798
50$2018-01-14 21:12:18$like$37
896$2018-04-01 13:40:42$share$886
390$2018-10-30 16:11:50$giveMark$842$6
228$2018-03-08 19:33:19$browse$1062
234$2018-04-05 18:48:03$giveMark$89$5
260$2018-08-13 04:53:51$share$1618
16$2018-03-03 14:27:15$like$918
62$2018-04-26 12:00:00$like$2014
621$2018-08-02 12:11:46$like$304
947$2018-03-14 23:05:33$browse$2068
380$2018-02-01 04:58:10$giveMark$1927$9
732$2018-06-25 02:43:04$giveMark$1308$2
466$2018-08-21 20:25:50$giveMark$1478$8
1001$2018-06-25 16:18:24$share$922
540$2018-06-18 02:51:53$browse$257
716$2018-03-06 04:36:16$like$1308
657$2018-10-15 15:48:49$browse$2080
661$2018-06-11 02:01:41$giveMark$1953$8
993$2018-02-23 22:59:42$browse$1218
982$2018-06-29 00:03:02$share$1954
584$2018-08-06 10:56:19$share$1234
601$2018-07-25 19:29:15$browse$947
769$2018-05-14 19:32:31$browse$1429
834$2018-09-16 09:53:10$like$1499
518$2018-07-19 23:40:18$like$2066
604$2018-09-16 18:33:15$like$863
508$2018-09-16 23:36:57$giveMark$1664$3
954$2018-07-22 02:33:46$browse$1402
606$2018-09-29 17:58:33$like$1562
370$2018-06-12 14:57:13$browse$544
902$2018-04-29 17:23:57$like$1902
554$2018-07-27 22:10:07$share$1806
369$2018-09-28 13:52:36$like$89
391$2018-03-24 15:31:12$share$916
331$2018-09-10 00:10:27$giveMark$1900$3
353$2018-10-24 01:06:10$giveMark$1890$10
385$2018-02-01 11:24:29$share$642
525$2018-02-06 22:56:45$like$1133
896$2018-09-22 12:17:58$giveMark$71$9
102$2018-08-19 11:39:25$like$1131
631$2018-07-30 08:14:33$like$2010
171$2018-03-13 07:55:12$share$906
477$2018-10-17 21:41:43$like$715
754$2018-06-06 02:38:19$like$1533
674$2018-07-28 06:28:02$like$477
603$2018-09-14 01:58:59$share$1446
109$2018-03-07 22:16:27$browse$732
1021$2018-08-25 16:43:32$giveMark$1732$2
174$2018-07-04 15:46:37$browse$1912
70$2018-07-02 22:37:58$like$719
945$2018-06-06 05:35:44$like$288
437$2018-05-05 15:02:53$like$222
490$2018-05-16 01:07:27$like$1015
494$2018-02-12 12:41:54$browse$71
32$2018-10-26 09:56:14$share$2042
665$2018-01-18 08:12:27$share$1759
910$2018-10-31 10:19:14$like$480
522$2018-08-08 07:43:27$share$1565
103$2018-04-01 05:10:37$like$1824
701$2018-02-13 23:12:32$giveMark$1907$1
565$2018-04-25 05:46:27$giveMark$2077$7
298$2018-06-19 10:18:35$giveMark$1796$8
952$2018-02-20 10:43:32$like$1213
724$2018-04-20 14:24:24$browse$807
67$2018-04-28 08:39:56$giveMark$2101$8
481$2018-09-08 20:04:26$browse$1722
450$2018-04-27 14:59:22$giveMark$1086$10
554$2018-05-02 18:54:02$browse$839
889$2018-07-18 09:21:10$browse$1515
1026$2018-10-02 01:46:52$share$1873
655$2018-02-09 20:03:26$like$1184
875$2018-06-30 01:28:32$like$1343
193$2018-07-27 20:11:41$share$884
528$2018-06-07 21:48:53$browse$304
784$2018-01-28 14:42:49$browse$1431
532$2018-08-18 20:51:34$browse$1797
735$2018-03-06 23:53:07$giveMark$340$1
717$2018-07-26 10:24:41$giveMark$1715$8
277$2018-07-11 13:27:56$giveMark$968$3
5$2018-07-21 04:38:04$share$1709
1034$2018-05-19 13:41:03$like$1368
264$2018-04-05 06:26:11$browse$2005
955$2018-06-08 03:03:48$like$1775
936$2018-10-12 08:44:40$browse$1419
924$2018-05-08 01:50:40$browse$157
93$2018-02-21 12:46:49$like$1388
567$2018-07-13 05:31:20$share$576
445$2018-06-05 21:10:06$giveMark$1244$10
439$2018-06-09 00:01:15$share$1638
813$2018-08-13 02:51:24$share$412
530$2018-08-12 07:14:05$browse$657
844$2018-10-28 19:14:11$share$1540
635$2018-08-07 16:39:11$giveMark$545$3
552$2018-02-17 17:43:33$like$1801
530$2018-06-27 22:16:45$giveMark$1261$7
202$2018-02-15 10:23:50$browse$1064
9$2018-03-19 04:34:50$giveMark$194$5
855$2018-08-25 12:40:43$giveMark$1288$5
192$2018-02-13 08:56:06$share$1329
91$2018-09-27 19:02:21$like$612
476$2018-06-10 00:08:21$like$2077
698$2018-06-14 04:42:18$like$1222
652$2018-04-10 19:34:30$giveMark$1122$10
888$2018-10-12 07:54:56$like$133
306$2018-01-02 00:33:00$giveMark$423$7
13$2018-08-18 04:57:09$giveMark$1431$7
560$2018-03-23 15:30:29$giveMark$1660$1
363$2018-04-12 17:35:27$like$1703
215$2018-06-19 16:19:57$share$1428
868$2018-03-07 22:59:19$like$223
908$2018-01-16 11:13:00$browse$1876
391$2018-08-28 10:56:36$like$1287
696$2018-02-12 16:29:38$like$121
209$2018-05-10 01:09:50$browse$468
344$2018-02-24 04:20:17$giveMark$1614$4
656$2018-10-02 13:44:49$like$1385
114$2018-05-18 23:18:26$browse$1523
169$2018-10-24 06:23:13$giveMark$961$8
1006$2018-04-27 15:55:16$share$1318
373$2018-09-14 08:38:29$like$354
496$2018-10-06 01:52:13$giveMark$781$8
913$2018-04-03 22:20:48$giveMark$1907$4
1022$2018-05-18 17:57:02$like$738
969$2018-05-20 23:01:25$share$526
528$2018-03-07 07:32:50$like$725
449$2018-08-29 00:12:58$browse$854
183$2018-09-29 12:46:50$share$1149
1052$2018-03-23 01:04:54$share$1777
633$2018-02-14 01:20:38$giveMark$2063$7
752$2018-09-09 03:55:15$share$2095
76$2018-10-06 22:10:41$like$740
993$2018-04-09 08:22:20$giveMark$1442$4
445$2018-09-10 13:32:07$browse$1551
868$2018-10-29 04:00:37$share$795
500$2018-05-11 12:04:52$like$356
249$2018-07-23 22:02:46$like$642
566$2018-09-06 17:13:01$browse$1442
403$2018-02-13 01:32:00$share$270
980$2018-02-05 06:14:26$like$1865
998$2018-01-30 13:08:07$giveMark$729$1
7$2018-02-12 20:09:36$giveMark$117$7
54$2018-10-10 14:56:09$giveMark$2013$8
493$2018-08-26 17:58:52$browse$1856
860$2018-07-17 08:40:44$like$1864
387$2018-02-25 17:15:42$like$91
204$2018-06-18 13:43:17$share$307
142$2018-06-11 04:54:43$giveMark$565$5
1000$2018-04-13 01:16:05$browse$991
718$2018-04-05 18:05:03$like$434
1014$2018-09-30 06:30:17$browse$2030
786$2018-07-23 10:33:05$browse$2029
64$2018-10-20 02:19:36$like$311
402$2018-06-20 16:57:22$giveMark$2005$4
643$2018-06-18 07:11:36$giveMark$1018$7
211$2018-03-18 01:56:14$browse$891
742$2018-06-21 15:01:01$giveMark$856$6
825$2018-07-19 07:19:57$share$602
249$2018-05-02 16:06:23$giveMark$604$4
798$2018-06-04 05:15:28$browse$518
395$2018-04-19 19:42:26$share$620
74$2018-01-30 10:52:42$share$853
207$2018-06-16 21:52:25$giveMark$311$9
